Directors Score,Total Revenue,Total Debt,Debt-to-Income Ratio,Operating Margin,Debt Service Coverage Ratio,Cash Flow Volatility,Revenue Growth Rate,Average Month-End Balance,Average Negative Balance Days per Month,Number of Bounced Payments,Company Age (Months),Sector_Risk,outcome,company_name
87.39,18169.0,0,0.0,-0.405,16.78,0.8261639812164872,0.2965024756471665,-118.60181818181799,14.909090909090908,13,24.0,0,0,Gas Records
83.64,444913.0,0,0.0,0.027,10.55,0.5236302211155728,1.2771022078338767,403.00307692307587,8.307692307692308,0,73.0,0,0,Gc Bike Repairs Ltd
88.04,402811.0,0,0.0,-0.107,33.89,0.24581350689085774,0.2715865471870269,3198.4111111111106,0.1111111111111111,17,12.0,0,1,Gc Couture Ltd
48.69,45786.0,0,0.0,-0.232,50.0,0.5437059465530054,1.0218891227832392,-463.3192307692312,22.692307692307693,0,30.0,0,0,Gem Drycleaning & Tailoring Services Ltd
87.98,122472.0,0,0.0,-0.168,24.69,0.9039129568558469,0.7037731109473074,379.48000000000053,0.09090909090909091,0,31.0,0,0,Get Outside Events Limited
83.49,199123.0,0,0.0,0.027,6.76,0.6742345716198249,-0.16388841681068228,-4459.850769230782,21.076923076923077,0,151.0,0,0,Go Commercial Finance Ltd
81.57,1339581.0,0,0.0,-0.012,7.25,0.26703699780419987,0.3570524013181415,64959.87615384623,0.07692307692307693,0,88.0,0,1,Golden Triangle Financial Services Ltd
92.62,39560.0,0,0.0,0.5,2.26,0.5,0.0,9031.910000000002,4.0,0,294.0,0,1,Gozone Care Ltd
68.32,160107.0,0,0.0,-0.181,14.59,0.37579844942558066,-0.037053891137365375,-850.59384615385,15.307692307692308,1,34.0,0,0,Grazka Limited
54.48,23263.0,0,0.0,0.012,50.0,0.5806349128569487,0.05492315746242493,648.0616666666666,0.0,0,19.0,0,0,Green Future Search Lab
74.69,82692.0,0,0.0,-0.166,39.1,0.5005809413684635,1.274828351068991,-174.03428571428532,25.714285714285715,2,15.0,0,0,Greenlight Digital
42.8,73999.0,0,0.0,0.0,10.0,0.38052473451804564,-0.020295035127051223,100.03999999999998,0.0,0,30.0,0,0,Greensec Limited
88.55,73999.0,0,0.0,0.0,10.0,0.38052473451804564,-0.020295035127051223,100.03999999999998,0.0,0,83.0,0,0,Gwynne And Hhyde Plumbing And Heating Ltd
78.08,42247.0,0,0.0,-0.08,46.38,0.5138515780163514,-0.37643339165016665,208.07222222222177,7.444444444444445,0,58.0,0,0,Habitat Music Studios Ltd
84.45,167414.0,0,0.0,0.068,2.82,0.30948637310515364,-0.06153490237257857,4226.769999999998,1.4615384615384615,0,94.0,0,1,Hair And Beauty Palace Ventures Limited
79.49,183496.0,0,0.0,0.232,3.23,0.36620326062626607,0.01181688709204367,160.36076923076487,9.615384615384615,1,213.0,0,0,Hans Lec Design
81.95,49089.0,0,0.0,-0.031,50.0,0.3019151739050096,0.2525729542723232,82.3700000000022,1.6923076923076923,0,24.0,0,1,Hardman Fitness Ltd
80.27,57975.0,0,0.0,0.012,50.0,0.6931137701046002,1.08925644506813,1019.2639999999999,7.2,13,51.0,0,0,Harley Street Hair Transplants
54.98,17594.0,0,0.0,0.018,50.0,1.5658638094185873,7.813940375167484,124.33375000000021,1.0,0,28.0,0,0,Hashmis And Bukharis Ltd
78.95,272689.0,0,0.0,-0.057,50.0,0.30554930571547834,0.16724747835371256,4599.519230769232,0.15384615384615385,9,25.0,0,1,Haus Of Sass Limited By Stephanie Limited
68.87,34027.0,0,0.0,0.091,15.65,0.46633500593944643,-0.6360552043708136,4751.150000000001,0.5,0,9.0,0,0,Havelock Group Ltd Ta New Longcar
83.82,617302.0,0,0.0,-0.05,1.62,0.454048620692977,0.016790538811637536,18886.760000000017,3.6153846153846154,177,91.0,0,0,Heart Of The Home Interiors
82.21,10062.0,0,0.0,-0.017,28.75,0.9716911959241369,-0.9856423743563989,445.98999999999967,2.0,0,40.0,0,0,Hemming Logistics Ltd
50.0,54797.0,0,0.0,0.079,10.0,0.2173070943592801,0.03932443306194136,1326.7599999999995,8.153846153846153,0,85.0,0,1,Herne Hill Dry Cleaners Limited
