json_file,outcome_label,in_paid_upload,in_not_paid_upload
The Fuel Agency (UK) Ltd.json,unlabelled,False,False
Voltanic Ltd.json,unlabelled,False,False
Lime Service Group Ltd.json,unlabelled,False,False
Madinska & Co Ltd.json,unlabelled,False,False
Muscle Makers Gym Limited_categorized_categorized.json,unlabelled,False,False
Muscle Makers Gym Limited_categorized.json,unlabelled,False,False
Four Paws Walking and Training Ltd App2.json,paid,True,False
Crunch Group Ltd Transaction Report.json,unlabelled,False,False
Made this for you Ltd Transaction Report.json,unlabelled,False,False
plaid_categories.json,unlabelled,False,False
silk route import & export ltd.json,unlabelled,False,False
Serenix Ltd Transaction Report.json,unlabelled,False,False
22Lush Limited Transaction Report.json,unlabelled,False,False
Muscle Makers Gym Limited.json,unlabelled,False,False
By Old Ltd Transaction Report.json,unlabelled,False,False
MBRB Limited Transaction Report.json,unlabelled,False,False
BBD Services Ltd Transaction Report.json,unlabelled,False,False
TTND Ltd Transaction Report.json,unlabelled,False,False
Uteachmi Ltd Transaction Report.json,unlabelled,False,False
Radcat Limited Transaction Report.json,unlabelled,False,False
Good Geezers Welling Ltd Transaction Limited.json,unlabelled,False,False
D&C Couriers Limited.json,paid,True,False
Mitz Traders Ltd Transaction Report.json,unlabelled,False,False
Apprintable Limited Transaction Report.json,unlabelled,False,False
Besachkarma Limited.json,unlabelled,False,False
Kimbo and Sons Ltd Transaction Report.json,unlabelled,False,False
Hans-Lec Transaction Report.json,unlabelled,False,False
Palmcoco Ltd Transaction Report.json,unlabelled,False,False
Ceiling Suppliers Transaction Report.json,unlabelled,False,False
Starks Flooring Ltd Transaction Report.json,unlabelled,False,False
Befirst Constructions Ltd - Transaction Report.json,unlabelled,False,False
Hashmis and Bukharis Ltd.json,unlabelled,False,False
White Canvas Bridal Ltd Transactions.json,unlabelled,False,False
Neu Hair.json,unlabelled,False,False
CS Sport.json,unlabelled,False,False
Smiths Trades Limited.json,unlabelled,False,False
The Gangway Sheringham Limited.json,unlabelled,False,False
Star Marketing Solutions Ltd.json,unlabelled,False,False
Bedew Skin Ltd.json,unlabelled,False,False
Ratz Vintage Clothing Ltd.json,unlabelled,False,False
Standout Aesthetics Limited.json,unlabelled,False,False
Suede Hosting Ltd.json,unlabelled,False,False
Go Commercial Finance Ltd.json,unlabelled,False,False
Future Analytics Ltd.json,unlabelled,False,False
Deli Ice Limited.json,unlabelled,False,False
Furfamilyfair Ltd.json,unlabelled,False,False
T & L Hurley Ltd.json,unlabelled,False,False
Marvel Heating & REnewable Energy Ltd.json,unlabelled,False,False
STRIKECLUB_LTD-.json,unlabelled,False,False
TECHARA_LIMITED.json,unlabelled,False,False
Get Outside Events Limited.json,unlabelled,False,False
Sady cs Ltd .json,unlabelled,False,False
Deluxe Lounge.json,unlabelled,False,False
Moviescape Ltd.json,unlabelled,False,False
Weird Inc Ltd .json,unlabelled,False,False
Hursley Childcare Ltd.json,unlabelled,False,False
Accounted Ltd.json,unlabelled,False,False
Flight Training Essex ltd.json,unlabelled,False,False
Advanced Automotive Performance Ltd.json,unlabelled,False,False
The Gluten Free World Ltd.json,unlabelled,False,False
Four Paws Walking and Training Ltd.json,unlabelled,False,False
Beforethefall.json,unlabelled,False,False
DLC Lighting Ltd.json,unlabelled,False,False
YLK GROUP LTD.json,unlabelled,False,False
Wild Bru and Lavers Ltd.json,unlabelled,False,False
Victory and Joel Ltd .json,unlabelled,False,False
Verve GB.json,unlabelled,False,False
THE_THIRSTY_TURTLE_LIMITED.json,unlabelled,False,False
THE_HOP_HOUSE_LTD.json,unlabelled,False,False
The Boot Country Pub Ltd.json,unlabelled,False,False
Stevnson Property Services Ltd.json,unlabelled,False,False
Staplehurst Coffee Ltd .json,unlabelled,False,False
Smithstrade Ltd.json,unlabelled,False,False
STUDIO_444_BY_EXEC_CONNECTIVE_LIMITED.json,unlabelled,False,False
Sercasa Ltd.json,unlabelled,False,False
Scrandiggity LTD.json,unlabelled,False,False
