file,status,transaction_count,date_min,date_max,revenue_total,non_revenue_credit_total,uncategorised_count,failed_payment_count,loan_credit_count,debt_repayment_count,exception_count
JsonExport/D&C Couriers Ltd Original.json,ok,1408,2023-11-20,2024-11-18,71.88,101700.0,0.0,33.0,0.0,91.0,25.0
JsonExport/D&C Couriers Orginal Bank acc.json,ok,202,2023-12-03,2024-11-16,0.0,93918.9,0.0,0.0,1.0,7.0,19.0
JsonExport/DAR Hire London Ltd.json,ok,1135,2025-04-22,2026-04-22,105992.19,29306.21,0.0,7.0,5.0,63.0,11.0
JsonExport/Data4est LTD - Transaction Report.json,ok,100,2024-02-21,2024-03-06,861.04,8354.68,0.0,0.0,2.0,6.0,1.0
"JsonExport/Data4est Ltd_0,0.json",ok,100,2024-02-21,2024-03-06,861.04,8354.68,0.0,0.0,2.0,6.0,1.0
JsonExport/Data4est Ltd_categorized.json,ok,100,2024-02-21,2024-03-06,861.04,0.0,0.0,0.0,1.0,9.0,0.0
JsonExport/Davaro limited.json,ok,562,2025-08-01,2026-01-12,32.0,63566.93,0.0,0.0,1.0,5.0,8.0
JsonExport/Del Castillo Latin Productions LTD - GetReportByID.json,ok,77,2025-03-20,2025-05-04,300.0,11750.0,0.0,0.0,0.0,9.0,2.0
JsonExport/Delche Gaming LTD - GetReportByID.json,ok,2451,2024-03-24,2025-03-24,38620.51,170742.31,0.0,0.0,2.0,94.0,89.0
JsonExport/Deli Ice Limited - GetReportByID.json,ok,2007,2023-07-22,2024-07-21,8813.2,13378.94,0.0,9.0,0.0,6.0,462.0
"JsonExport/Deli Ice Limited_0,0.json",ok,2007,2023-07-22,2024-07-21,8813.2,13378.94,0.0,9.0,0.0,6.0,462.0
JsonExport/Deluxe Lounge - GetReportByID.json,ok,3083,2023-07-17,2024-07-16,5626.97,142170.47,0.0,0.0,14.0,45.0,42.0
"JsonExport/Deluxe Lounge_0,0.json",ok,3083,2023-07-17,2024-07-16,5626.97,142170.47,0.0,0.0,14.0,45.0,42.0
JsonExport/Denteuropa Limited - Transaction Report.json,ok,100,2024-03-20,2024-04-03,12600.05,27906.87,0.0,0.0,0.0,17.0,18.0
JsonExport/Dentouch Limited.json,ok,2974,2023-09-05,2024-09-05,322610.62,264461.76,0.0,6.0,4.0,459.0,87.0
JsonExport/DHG E-Commerce Ltd - GetReportByID.json,ok,2983,2024-05-20,2025-05-20,244733.61,89258.66,0.0,0.0,9.0,83.0,15.0
JsonExport/DIAMOND BRICKWORK AND GROUNDWORKS LTD - GetReportByID.json,ok,1109,2024-05-16,2025-05-16,3426.46,81891.25,0.0,0.0,8.0,9.0,37.0
JsonExport/Differencesnotdisabilities.json,ok,1618,2025-04-11,2026-04-10,34293.29,31993.2,0.0,0.0,8.0,27.0,13.0
JsonExport/Diva Hair Studio Ltd.json,ok,532,2025-02-14,2025-08-11,920.0,18902.97,0.0,0.0,0.0,5.0,126.0
JsonExport/DJC Trading Spirits Ltd Transaction Report.json,ok,690,2023-07-31,2024-07-29,44342.56,58054.42,0.0,0.0,5.0,116.0,9.0
JsonExport/DKC Menswear Ltd.json,ok,728,2025-04-15,2026-04-15,60857.34,46742.9,0.0,1.0,10.0,24.0,20.0
JsonExport/DLC lighting limited - Transaction Report.json,ok,100,2024-02-26,2024-03-28,4491.26,7450.79,0.0,2.0,4.0,4.0,2.0
