original_filename,clean_company_name,proposed_filename,collision_group_size,collision_status,would_rename,file_size,last_modified
Chillbeam Limited Ob 2.json,Chillbeam Limited,Chillbeam Limited - 01.json,2,collision_numbered,True,593447,1739959918.0
Chillbeam Limited.json,Chillbeam Limited,Chillbeam Limited - 02.json,2,collision_numbered,True,573811,1739443923.0
chilli too limited.json,Chilli Too Limited,Chilli Too Limited.json,1,unique,True,3044188,1771591293.3607135
Chocholivenetworks201.json,Chocholivenetworks201,Chocholivenetworks201.json,1,unique,False,1211263,1725265124.0
Christ Advocates Church Ltd Transaction Report.json,Christ Advocates Church Ltd,Christ Advocates Church Ltd.json,1,unique,True,99255,1723038320.0
Class barber sw Ltd.json,Class Barber Sw Ltd,Class Barber Sw Ltd.json,1,unique,True,1161571,1771591290.2967663
Cleaner Than Ever Norbury Ltd.json,Cleaner Than Ever Norbury Ltd,Cleaner Than Ever Norbury Ltd.json,1,unique,False,6816836,1771591290.3135152
COAST 2 COAST ( HALIFAX) LTD - GetReportByID.json,COAST 2 COAST ( HALIFAX) Ltd,COAST 2 COAST ( HALIFAX) Ltd.json,1,unique,True,2067217,1747393142.0
Coasties Collectables Ltd.json,Coasties Collectables Ltd,Coasties Collectables Ltd.json,1,unique,False,634639,1774021076.0
Cola Ship Limited - GetReportByID.json,Cola Ship Limited,Cola Ship Limited.json,1,unique,True,1287052,1748860939.0
Company Name VISA & IT Ltd - GetReportByID.json,Company Name VISA & IT Ltd,Company Name VISA & IT Ltd.json,1,unique,True,268774,1720429050.0
Coordinate Saas Ltd.json,Coordinate Saas Ltd,Coordinate Saas Ltd.json,1,unique,False,2111592,1738681931.0
CoreERP Solutions.json,CoreERP Solutions,CoreERP Solutions - 01.json,2,collision_numbered,True,466404,1726065481.0
"CoreERP Solutions_0,0.json",CoreERP Solutions,CoreERP Solutions - 02.json,2,collision_numbered,True,731931,1771591375.329066
Crazy Daisy's - GetReportByID (1)(1).json,Crazy Daisy's,Crazy Daisy's.json,1,unique,True,175843,1752744996.0
Creative Plus Media Ltd.json,Creative Plus Media Ltd,Creative Plus Media Ltd.json,1,unique,False,1825249,1771591290.329964
Creativo Oculus - GetReportByID.json,Creativo Oculus,Creativo Oculus.json,1,unique,True,2067089,1746197827.0
Crownstep Limited - GetReportByID.json,Crownstep Limited,Crownstep Limited.json,1,unique,True,181629,1719909598.0
Crunch Group Ltd Transaction Report.json,Crunch Group Ltd,Crunch Group Ltd - 01.json,3,collision_numbered,True,333316,1724401008.0
"Crunch Group Ltd Transaction Report_0,0.json",Crunch Group Ltd,Crunch Group Ltd - 02.json,3,collision_numbered,True,519267,1771591375.6365504
Crunch Group Ltd Transaction Report_categorized.json,Crunch Group Ltd,Crunch Group Ltd - 03.json,3,collision_numbered,True,517302,1726256725.0
CS Sport.json,CS Sport,CS Sport - 01.json,3,collision_numbered,True,2096380,1721989336.0
"CS Sport_1,0.json",CS Sport,CS Sport - 02.json,3,collision_numbered,True,3314430,1771591372.887716
CS Sport_categorized.json,CS Sport,CS Sport - 03.json,3,collision_numbered,True,3310794,1726256725.0
CS Sports.json,CS Sports,CS Sports.json,1,unique,False,181821,1746006665.0
csi interiors - Transaction Report.json,Csi Interiors,Csi Interiors.json,1,unique,True,189003,1719909956.0
Custom Car Paint LTD.json,Custom Car Paint Ltd,Custom Car Paint Ltd.json,1,unique,True,573576,1771591290.329964
D & C Couriers Ltd app 3.json,D & C Couriers Ltd,D & C Couriers Ltd.json,1,unique,True,223776,1775721865.0
D&C Couriers Limited.json,D&C Couriers Limited,D&C Couriers Limited - 01.json,3,collision_numbered,True,80206,1723628130.0
"D&C Couriers Limited_1,0.json",D&C Couriers Limited,D&C Couriers Limited - 02.json,3,collision_numbered,True,122654,1726855020.0
D&C Couriers Limited_categorized.json,D&C Couriers Limited,D&C Couriers Limited - 03.json,3,collision_numbered,True,126344,1726256725.0
D&C Couriers Ltd - GetReportByID.json,D&C Couriers Ltd,D&C Couriers Ltd - 01.json,4,collision_numbered,True,268151,1748945633.0
D&C Couriers Ltd app 2.json,D&C Couriers Ltd,D&C Couriers Ltd - 02.json,4,collision_numbered,True,261703,1771591290.3630726
D&C Couriers Ltd app 3.json,D&C Couriers Ltd,D&C Couriers Ltd - 03.json,4,collision_numbered,True,263918,1771591290.3630726
D&C Couriers Ltd Original.json,D&C Couriers Ltd,D&C Couriers Ltd - 04.json,4,collision_numbered,True,1878802,1771591290.347479
D&C Couriers Orginal Bank acc.json,D&C Couriers,D&C Couriers.json,1,unique,True,257401,1731938225.0
DAR Hire London Ltd.json,DAR Hire London Ltd,DAR Hire London Ltd.json,1,unique,False,1520460,1776857163.0
Data4est LTD - Transaction Report.json,Data4est Ltd,Data4est Ltd - 01.json,3,collision_numbered,True,188690,1719910262.0
"Data4est Ltd_0,0.json",Data4est Ltd,Data4est Ltd - 02.json,3,collision_numbered,True,211859,1771591376.903501
Data4est Ltd_categorized.json,Data4est Ltd,Data4est Ltd - 03.json,3,collision_numbered,True,212158,1726256725.0
Davaro limited.json,Davaro Limited,Davaro Limited.json,1,unique,True,769456,1771591290.3965106
Del Castillo Latin Productions LTD - GetReportByID.json,Del Castillo Latin Productions Ltd,Del Castillo Latin Productions Ltd.json,1,unique,True,107276,1746549197.0
Delche Gaming LTD - GetReportByID.json,Delche Gaming Ltd,Delche Gaming Ltd.json,1,unique,True,3122033,1742814456.0
Deli Ice Limited - GetReportByID.json,Deli Ice Limited,Deli Ice Limited - 01.json,2,collision_numbered,True,2653740,1721637584.0
